Noun	Plurals
time	time,times
way	ways
year	years
work	work,works
government	government,governments
day	days
man	men
world	world,worlds
life	life,lives
part	parts
house	housen,houses
course	courses
case	cases
system	systems
place	places
end	ends
group	groups
company	companies,company
party	parties
information	information,informations
school	schools
fact	facts
money	money,moneys
point	points
example	examples
state	states
business	businesses,business
night	nights,night
area	areas
water	water,waters
thing	things
family	families,family
head	head,heads
hand	hands
order	orders,order
john	johns
side	sides
home	homes
development	developments,development
week	weeks
power	powers,power
country	countries
council	councils
use	use,uses
service	services
room	rooms,room
market	markets
problem	problems,problemata
court	courts
lot	lots
a	aes
war	wars,war
police	police
interest	interests,interest
car	cars
law	law,laws
road	roads
form	form,forms
face	faces
education	education,educations
policy	policy,policies
research	research,researches
sort	sorts
office	offices
body	body,bodies
person	persons,people
health	healths,health
mother	mothers
question	questions
period	periods
name	names
book	books
level	levels,level
child	childer,children
control	control,controls
society	society,societies
minister	ministers
view	views
door	doors
line	lines
community	community,communities
south	south
city	cities
god	gods
father	fathers
centre	centres
effect	effects,effect
staff	staffs,staves
position	positions
kind	kinds
job	jobs
woman	women
action	actions
management	managements,management
act	acts,act
process	processes
north	north,norths
age	ages,age
evidence	evidence,evidences
idea	ideas
west	west
support	supports,support
moment	moments
sense	sense,senses
report	reports
mind	minds
church	church,churches
morning	mornings
death	death,deaths
change	changes
industry	industries,industry
land	land,lands
care	care,cares
century	centuries
range	ranges
table	tables
back	backs
trade	trades,trade
history	history,histories
study	studies,study
street	streets
committee	committees
rate	rates
word	words
food	foods,food
language	language,languages
experience	experience,experiences
result	results
team	teams
other	others
sir	sirs
section	sections
programme	programmes
air	air,airs
authority	authority,authorities
role	roles
reason	reason,reasons
price	prices
town	towns
class	classes,class
nature	natures,nature
subject	subjects
department	departments
union	union,unions
bank	banks
member	members
value	values,value
need	needs
east	east,easts
practice	practices,practice
type	types
paper	papers,paper
date	dates
decision	decisions,decision
figure	figures
right	rights
wife	wives
president	presidents
university	universities
friend	friends
club	clubs
quality	qualities,quality
voice	voices
lord	lords
stage	stages
king	kings
situation	situations
light	lights,light
tax	tax,taxes
production	production,productions
march	marches
secretary	secretaries
art	arts,art
board	board,boards
may	mays
hospital	hospitals
month	months
music	musics,music
cost	costs
field	fields
award	awards
issue	issues
bed	beds
project	projects
chapter	chapters
girl	girls
game	games,game
amount	amounts
basis	baseis,bases
knowledge	knowledge,knowledges
approach	approaches
series	series
love	loves,love
top	tops
news	news
front	fronts
future	future,futures
manager	managers
account	accounts
computer	computers
security	security,securities
rest	rest,rests
labour	labours,labour
structure	structure,structures
hair	hairs,hair
bill	bills
heart	hearts,heart
force	forces,force
attention	attentions
movement	movements,movement
success	success,successes
letter	letters
agreement	agreements,agreement
capital	capital,capitals
analysis	analysis,analyses
population	populations
environment	environments
performance	performances,performance
model	models
material	material,materials
theory	theory,theories
growth	growths,growth
fire	fire,fires
chance	chances
boy	boys
relationship	relationships
son	sons
sea	seas
record	records
size	sizes
property	properties,property
space	space,spaces
term	terms
director	directors
plan	plans
behaviour	behaviour,behaviours
treatment	treatments,treatment
energy	energies,energy
income	incomes,income
cup	cups
scheme	schemes
design	design,designs
response	responses
association	associations,association
choice	choices,choice
pressure	pressures,pressure
hall	halls
couple	couples
technology	technologies,technology
defence	defence,defences
list	lists
chairman	chairmen
loss	losses,loss
activity	activities,activity
contract	contracts
county	counties
wall	walls
paul	pauls
difference	difference,differences
army	armies
hotel	hotels
sun	suns,sun
product	product,products
summer	summers,summer
set	sets
village	villages
colour	colours,colour
floor	floors
season	seasons
unit	units
park	parks
hour	hours
investment	investments
test	tests
garden	gardens
husband	husbands
employment	employment,employments
style	styles
science	science,sciences
look	looks
deal	deals
charge	charges,charge
help	helps,help
economy	economies
new	new
page	pages
risk	risks
advice	advices,advice
event	events
picture	pictures
commission	commissions
fish	fish,fishes
college	colleges
oil	oils,oil
